TABNAME	TCODE	LIFNR	MATNR	ZZMAKER	ZZJSQI	ZZKUBUN	ZZJAPAN	ZZRM_ORIGIN	ZZCATEGORY	ZZPACKING_TYPE	ZZPACKING_SIZE	ZZPACKING_UNIT	ZZINCI_NAME
	ME12	C000002	91100469700	SHINETSU CHEMICAL CO.,LTD	Y	4	04697	JP	Polymers	CAN	15	KG	organopolysiloxane
	ME12	C000002	91101483700	TAYCA CORPORATION	Y	4	14837	JP	Powders	BAG	10	KG	zinc oxide
	ME12	C000002	91100557200	DAITO KASEI KOGYO CO., LTD	N	4	05572	JP	Coloring Agents	BAG	20	KG	Red iron oxide/Triethoxycaprylylsilane
	ME12	C000002	91100796800	BioGenics, Inc.	N	4	07968	KR	Coloring Agents	DRUM	10	KG	CI 77491 (Iron Oxides)
	ME12	C000002	91101552200	Titan Kogyo, Ltd.	Y	4	15522	JP	Powders	BAG	10	KG	Titanium dioxide/Aluminium hydroxide/Triethoxy(octyl)silane
	ME12	C000002	9110FT40100	DOW TORAY CO., LTD.	Y	4	FT401	JP	Powders	BAG	10	KG	Dimethicone (and) Dimethicone Crosspolymer
	ME12	C000002	91100628400	KOEI KOGYO CO., LTD	Y	4	06284	JP	Actives	CAN	10	KG	Achillea Millefolium Extract
	ME12	C000002	91100147400	SHINETSU CHEMICAL CO.,LTD	Y	4	01474	JP	Silicones	CAN	16	KG	PEG-10 Dimethicone
	ME12	C000002	91100557400	DAITO KASEI KOGYO CO., LTD	N	4	05574	JP	Coloring Agents	BAG	20	KG	Black iron oxide/Triethoxycaprylylsilane
	ME12	C000002	91100796700	BioGenics, Inc.	Y	4	07967	KR	Coloring Agents	DRUM	1	KG	CI 77499 (Iron Oxides)
	ME12	C000002	91100912900	Matsumoto Yushi-Seiyaku Co., Ltd.	Y	4	09129	JP	Actives	BAG	20	KG	Hydroxypropyl Methylcellulose
	ME12	C000002	91100573200	NIHON SHOKUHIN KAKO CO.,LTD	Y	4	05732	JP	Actives	CAN	15	KG	Hydroxypropyl Cyclodextrin
	ME12	C000002	91100699700	BASF SE	Y	4	06997	DE	Surfactant	DRUM	25	KG	Methylene Bis-Benzotriazolyl Tetramethylbutylphenol
	ME12	C000002	91100442900	TAYCA CORPORATION	Y	4	04429	JP	Powders	BAG	10	KG	Titanium dioxide/Aluminum hydroxide/Stearic acid or Fatty acids, C16-18
	ME12	C000002	91100649900	TOHO CHEMICAL INDUSTRY CO.,LTD	Y	4	06499	JP	Surfactant	CAN	1	KG	Nylon-12
	ME12	C000002	91100364700	AJINOMOTO CO., INC	Y	4	03647	JP	Surfactant	DRUM	180	KG	Arginine Cocoate
	ME12	C000002	91100676300	NAGASE CHEMTEX CORPORATION	Y	4	06763	JP	Actives	CAN	20	KG	Diethylenetriamine/Sodium cyanide/Formaldehyde/Sodium hydroxide
	ME12	C000002	91100376300	MIYOSHI OIL & FAT CO., LTD.	Y	4	03763	JP	Surfactant	DRUM	200	KG	Sodium 2-(N-methylamino) ethanesulfonate
	ME12	C000002	91100393800	Global Amines Japan	Y	4	03938	JP	Surfactant	DRUM	200	KG	coconut fatty acid amidopropyl betaine solution
	ME12	C000002	91100519101	AJINOMOTO CO., INC.	Y	4	05191	FR	Actives	BAG	25	KG	GLUTAMIC ACID
